12 noon	12
12 o'clock noon	12 o'clock
A.M. in the morning	in the morning
ABS brakes	brakes
ABS braking system	braking system
ACT test	test
ATM machine	machine
Bo Staff	Staff
CD Disc	Disc
GOP party	party
GRE exam	exam
HIV virus	virus
Hallah bread	bread
I myself	myself
I personally	personally
ISBN number	number
It is what it is	what it is
LCD display	display
Milky Way galaxy	galaxy
PIN number	number
Please RSVP	Please
RAM memory	memory
SAT test	test
State of New Mexico	State of
State of New York	State of
State of North Carolina	State of
State of North Dakota	State of
State of South Carolona	State of
State of South Dakota	State of    
State of \p{Upper}\p{Lower}+	State of
UPC code	code
a distance of .* km|in|inches|feet|\w+meter|\w+meters	a distance of
a pair of twins	a pair of
a.m. in the morning	in the morning
absolute beginning|end	absolute
absolute guarantee	absolute
absolutely essential	absolutely
absolutely necessary	absolutely
absolutely sure	absolutely
actual experience	actual
actual facts	actual
add a further	a further
add an additional	an additional
add up	up
added bonus	added
added bonus|addition	added
advance forward	forward
advance planning	advance
advance preview	advance
advance reservations	advance
advance warning	advance
advance warning|planning|reservations	advance
affirmative yes	affirmative
aid and abet	aid and
all inclusive	all
all of	of
all-time record	all-time
alongside	side
alongside of	of
alternative choice	choice
always and forever	and forever
amaretto almond	almond
and etc.	and
annual anniversary	annual
anonymous stranger	anonymous
armed gunman	armed
armed gunmen	armed
artificial prosthesis	artificial
as for example	as
as per	as
as to whether	as to
ascend up	up
ask the question	the question
assemble together	together
at a later date	at a, date
at the present time	the, time
at this point in time	in time
attach together	together
autobiography of his or her own life	of his or her own life
autobiography of my life	of my life
autumn season	season
awful bad	awful
baby boy|girl was born	baby
bald-headed	-headed
balsa wood	wood
bare naked	bare
basic fundamentals	basic
basic necessities	basic
bento box	box
best ever	ever
biography of his--or her--life	of his--or her--life
blend together	together
boat marina	boat
bouquet of flowers	of flowers
brief cameo	brief
brief in duration	in duration
brief moment	brief
brief summary	brief
bruin bear	bear
burning embers	burning
burning hot	hot
but however	however
but nevertheless	nevertheless
cacophony of sound	of sound
cameo appearance	appearance
cancel out	out
careful scrutiny	careful
cash money	money
cease and desist	and desist
chai tea	tea
circle around	around
circulate around	around
classify into groups	into groups
climb up	up
close proximity	close
close scrutiny	close
closed fist	closed
collaborate together	together
combine together	together
comfortable with \w+ing	with
common bond	common
commute back and forth	back-and-forth
compete with each other	with each other
complete monopoly	complete
completely annihilate	completely
completely destroyed	completely
completely eliminate	completely
completely engulfed	completely
completely filled	completely
completely surround	completely
component parts	component
comprises of	of
confer together	together
confer|congregate together	together
confused state	state
connect together	together
connect up	up
consensus of opinion	of opinion
constantly maintained	constantly
consult with	with
continue on	on
continue to remain	continue to
cool down	down
cooperate together	together
cost the sum of	the sum of
could possibly	possibly
crisis situation	situation
crouch down	down
curative process	process
current trend	current
currently \w+ing	currently
dates back	back
definite decision	definite
depreciate in value	in value
descend down	down
desirable benefits	desirable
different kinds	different
difficult dilemma	difficult
direct confrontation	direct
disappear from sight	from sight
distance of .* km|in|inches|feet|\w+meter|\w+meters	distance of
dive down	down
downward	ward
drop down	down
duplicate copy	duplicate
during the course of	the course of
dwindle down	down
dwindled down	down
dynamic range	dynamic
each and every	and every
earlier in time	in time
eliminate altogether	altogether
emergency situation	situation
empty hole	empty
empty out	out
empty space	empty
enclosed herein	herein
end result	end
enter in	in
enter into	into
entirely eliminate	entirely
equal to one another	to one another
equally as	equally
eradicate completely	completely
established fact	established
estimated at about	about
estimated at approximately	approximately
estimated at arround	around
every now and then	every
evolve over time	over time
exact opposites	exact
exact replica	exact
exact same	exact
exactly right|correct|identical	exactly
exited from	from
exposed opening	exposed
extra bonus	extra
extradite back	back
face mask	face
face up to	up to
facilitate easier	easier
fall down	down
fall season	season
false pretenses	false
famous celebrity|celebrities	famous
favorable approval 	favorable
feel inside	inside
fellow classmates	fellow
fellow classmates|co-workers|comrades|colleagues	fellow
fellow colleague	fellow
few in number	in number
filled to capacity	to capacity
final conclusion	final
final end	final
final outcome	final
final product|demise|destination|outcome	final
final ultimatum	final
financial accounting	financial
first and foremost	first and
first began	first
first conceived	first
first of all	of all
first started	first
first time ever	ever
fit enough	enough
fly through the air	through the air
focus in	in
follow after	after
for free	for
foreign imports	foreign
forever and ever	and ever
former graduate	former
former veteran	former
forward planning	forward
free gift	free
free gifts	free
free pass	free
from whence	from
frozen ice	frozen
frozen tundra	frozen
full satisfaction	full
full to capacity	to capacity
fuse together	together
future plans	future
future recurrence	future
gather together	together
gather up	up
general conclusion|custom|pattern	general
general public	general
genetic clone|mutant	genetic
get up on his feet	on his feet
get up on your feet	on your feet
glowing ember	glowing
going (north|south|east|west)bound	going
grow in size	in size
had done previously	previously
hard facts	hard
harmful injuries	harmful
have got	got
has got		got
he himself	himself
